username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,,,,,,,,,,,,
"IRCTCofficial;	2017-06-30 23:55;0;0;"""".NETBANKING ",AXIS Bank BANK REFUND TXN ID S43853249/819 Further," contact with bank. 2/2"";;;;	""880854734193664000"";	https://twitter.com/IRCTCofficial/status/880854734193664000",,,,,,,,,,
"make06nrit;	2017-06-30 23:53;0;0;""You live in india.. Where they dont give a fuck. bear with it"";;;;	""880854366495944704"";	https://twitter.com/make06nrit/status/880854366495944704",,,,,,,,,,,,
"veeru_rocky;	2017-06-30 23:53;0;0;""# Bankcharges Anyone else seeing these kind of charges?"";;;#;	""880854265811447808"";	https://twitter.com/veeru_rocky/status/880854265811447808",,,,,,,,,,,,
"veeru_rocky;	2017-06-30 23:50;0;0;""@ AxisBank @ AxisBankSupport Random charges 4m my a/c with details as http://scg.visa .pos.dt when I haven't even used my card!! WTH??"";;@ @;;	""880853612838100993"";	https://twitter.com/veeru_rocky/status/880853612838100993",,,,,,,,,,,,
"tarunkkumar1307;	2017-06-30 23:15;1;0;""sittng in NCR widrwl frm Agra thru cloned card @ RBI @ arun @ FinMinIndia @ PMOIndia @ AxisBank 10days gone no response from @ AxisBank .frustatd https://twitter.com/tarunkkumar1307/status/880844073803829248 …"";;@ @ @ @ @ @;;	""880844768305004545"";	https://twitter.com/tarunkkumar1307/status/880844768305004545",,,,,,,,,,,,
"tarunkkumar1307;	2017-06-30 23:12;1;0;""@ narendramodi @ PMOIndia @ RBI @ arunjaitley @ FinMinIndia lost 50k due 2 @ AxisBank issued cloned debitcard. sm1 widdrawl frm ATM widout cnsnt. https://twitter.com/tarunkkumar1307/status/877506162127589376 …"";;@ @ @ @ @ @;;	""880844073803829248"";	https://twitter.com/tarunkkumar1307/status/880844073803829248",,,,,,,,,,,,
"The_Physicst;	2017-06-30 23:00;0;0;""@ AxisBank Hey "," are you down today? No netbanking and mobile banking working today?"";;@;;	""880841033939951616"";	https://twitter.com/The_Physicst/status/880841033939951616",,,,,,,,,,,
"bhavik189;	2017-06-30 22:45;0;0;""@ AxisBank Website and App down since last few hours..!!"";;@;;	""880837115382255616"";	https://twitter.com/bhavik189/status/880837115382255616",,,,,,,,,,,,
"lionkng123;	2017-06-30 22:41;0;0;""@ AxisBank - Axisbank site as well as mobile app is completely down for long. Is there any ETA?"";;@;;	""880836104919760896"";	https://twitter.com/lionkng123/status/880836104919760896",,,,,,,,,,,,
"raghuynt;	2017-06-30 22:36;0;0;""How? Bmtc themselves gave press release that metro and bmtc uses are different technology hence cannot be common"";;;;	""880834852479582208"";	https://twitter.com/raghuynt/status/880834852479582208",,,,,,,,,,,,
"NitinSh73478394;	2017-06-30 22:34;0;1;""I reviewed Axis Bank 1/5. Earn Rs.40 per review # WriteShareWin http://www.mouthshut.com/review/Axis-Bank-review-srumsrnmrln … via @ MouthShut"";;@;#;	""880834424555921410"";	https://twitter.com/NitinSh73478394/status/880834424555921410",,,,,,,,,,,,
"deepxdive;	2017-06-30 22:29;0;0;""$UBTI10 Axis Bank Ltd. UBTI10-US Earnings Analysis 2017 By the Numbers June 26"," 2017 https://online.capitalcube.com/#!/stock/US/exchange/UBTI10/Earningsreleaseaol …pic.twitter.com/i8ZkD7WrFM"";;;#;	""880833270933540864"";	https://twitter.com/deepxdive/status/880833270933540864",,,,,,,,,,,
"deepxdive;	2017-06-30 22:29;0;0;""$ AXBKY Axis Bank Ltd. AXBKY-US Earnings Analysis 2017 By the Numbers June 26"," 2017 https://online.capitalcube.com/#!/stock/US/exchange/AXBKY/Earningsreleaseaol …pic.twitter.com/7qNMAYMGeQ"";;;#;	""880833266026242049"";	https://twitter.com/deepxdive/status/880833266026242049",,,,,,,,,,,
"GR8AYAZ;	2017-06-30 22:27;0;0;""@ AxisBankSupport @ AxisBank what is problem with mobile app"," very slow and not working properly"";;@ @;;	""880832638260588544"";	https://twitter.com/GR8AYAZ/status/880832638260588544",,,,,,,,,,,
"sukritdhingra;	2017-06-30 22:25;0;0;""@ AxisBank what's wrong with axis bank app? Why am I unable to login?It's super urgent."";;@;;	""880832055075938304"";	https://twitter.com/sukritdhingra/status/880832055075938304",,,,,,,,,,,,
"Lemonickous;	2017-06-30 22:21;0;0;""Same here. I'm in Bangalore. Is this a regional issue?"";;;;	""880831289833783300"";	https://twitter.com/Lemonickous/status/880831289833783300",,,,,,,,,,,,
